max_depth,n_trees,n_leaves,early_stopping,col_sample,l,a,p,r,f
4,3000,50,20,1,0.390143361992,0.839833262682,0.802620626329,0.943560702469,0.86739737282
4,3000,100,5,0.5,0.391006249469,0.840080542603,0.800704198846,0.947887503181,0.868099740175
4,3000,100,5,0.75,0.38778609462,0.841528896425,0.802998376573,0.946869432426,0.869015322071
4,3000,100,5,1,0.389941455907,0.840221845415,0.802085132072,0.945533214558,0.867913754493
4,3000,100,10,0.5,0.390037999216,0.841140313692,0.803541910358,0.944896920336,0.868500628763
4,3000,100,10,0.75,0.390493288393,0.838808817295,0.801472720651,0.943369814202,0.866639025207
4,3000,100,10,1,0.387053328523,0.842164759079,0.80377704752,0.946869432426,0.869474035457
4,3000,100,20,0.5,0.390677684275,0.840292496821,0.801350139848,0.947123950115,0.868158260709
4,3000,100,20,0.75,0.386572643226,0.844390278367,0.806857042934,0.946233138203,0.871001895297
4,3000,100,20,1,0.386784955289,0.842729970326,0.804376104036,0.947060320692,0.869898547602
5,500,25,5,0.5,0.486907195395,0.792072912251,0.745527771551,0.949669127004,0.835293886362
